CIC0,SM1_Dz(Z),GATS1i,MLOGP,LC50,NdsCH_1,NdsCH_2,NdsCH_3,NdsCH_4,NdssC_1,NdssC_2,NdssC_3,NdssC_4,NdssC_5,NdssC_6
3.26,0.829,1.676,1.453,3.77,False,False,False,False,True,False,False,False,False,False
2.189,0.58,0.863,1.348,3.115,False,False,False,False,False,False,False,False,False,False
2.125,0.638,0.831,1.348,3.531,False,False,False,False,False,False,False,False,False,False
3.027,0.331,1.472,1.807,3.51,True,False,False,False,False,False,False,False,False,False
2.094,0.827,0.86,1.886,5.39,False,False,False,False,False,False,False,False,False,False
3.222,0.331,2.177,0.706,1.819,False,False,False,False,False,False,False,False,False,False
3.179,0.0,1.063,2.942,3.947,False,False,False,False,False,False,False,False,False,False
3.0,0.0,0.938,2.851,3.513,True,False,False,False,False,False,False,False,False,False
2.62,0.499,0.99,2.942,4.402,False,False,False,False,False,False,False,False,False,False
2.834,0.134,0.95,1.591,3.021,False,False,False,False,False,False,False,False,False,False
2.405,0.134,0.843,1.769,3.21,False,False,False,False,False,False,False,False,False,False
2.728,0.223,0.953,1.591,2.371,False,False,False,False,False,False,False,False,False,False
2.512,0.223,0.929,1.769,3.919,True,False,False,False,False,False,False,False,False,False
2.834,0.134,1.237,1.859,3.03,False,False,False,False,False,False,False,False,False,False
2.819,0.331,1.271,0.981,2.736,False,False,False,False,True,False,False,False,False,False
2.126,0.251,1.114,0.143,2.157,False,False,False,False,False,False,False,False,False,False
2.834,0.134,1.322,1.199,2.413,False,False,False,False,False,False,False,False,False,False
3.014,0.56,1.781,-0.115,0.898,False,False,False,False,False,False,False,False,False,False
3.024,0.452,2.698,1.107,0.45,False,False,False,False,False,False,False,False,False,False
3.036,0.405,1.205,1.807,3.733,True,False,False,False,False,False,False,False,False,False
2.707,0.972,1.889,-1.169,2.976,False,False,False,False,False,False,True,False,False,False
2.978,1.246,1.103,3.988,6.535,False,False,False,False,True,False,False,False,False,False
3.111,0.732,0.923,4.068,5.643,False,False,False,False,False,False,False,False,False,False
3.315,0.223,0.96,3.395,4.629,False,False,False,False,False,False,False,False,False,False
2.71,0.93,0.724,2.526,4.838,False,False,False,False,False,False,False,False,False,False
3.326,0.647,0.986,3.112,4.081,False,False,False,False,True,False,False,False,False,False
3.332,0.134,1.294,2.51,3.436,False,False,False,False,False,False,False,False,False,False
3.896,0.134,1.984,2.591,3.45,False,False,False,False,False,False,False,False,False,False
3.155,0.638,2.128,-0.937,1.102,False,False,False,False,False,False,False,False,False,False
2.479,0.887,0.954,1.748,4.257,False,False,False,False,False,False,False,False,False,False
1.075,1.161,0.865,0.024,5.386,False,False,False,False,True,False,False,False,False,False
3.645,0.223,1.155,2.837,3.393,False,False,False,False,False,False,False,False,False,False
3.079,0.429,2.135,-0.521,1.308,False,False,False,False,False,False,False,False,False,False
3.332,0.134,1.519,2.242,3.554,False,False,False,False,False,False,False,False,False,False
2.726,0.496,1.179,1.06,2.269,False,False,False,False,True,False,False,False,False,False
3.532,0.134,1.11,2.813,4.165,False,False,False,False,False,False,False,False,False,False
4.216,0.223,1.248,5.089,5.896,False,False,False,False,False,False,False,False,False,False
3.605,0.0,1.15,3.562,4.829,False,False,False,False,False,False,False,False,False,False
2.918,0.223,0.944,2.066,4.59,False,False,True,False,False,False,False,False,False,False
3.833,0.405,1.522,3.492,2.092,False,False,False,False,True,False,False,False,False,False
3.669,0.223,1.599,2.274,3.665,False,False,False,False,False,False,False,False,False,False
2.824,0.223,1.0,2.102,3.56,True,False,False,False,False,False,False,False,False,False
2.233,0.64,0.92,2.37,4.805,True,False,False,False,False,False,False,False,False,False
3.103,0.134,1.344,1.533,3.174,False,False,False,False,False,False,False,False,False,False
4.413,0.56,1.17,3.906,7.899,True,False,False,False,False,True,False,False,False,False
3.641,0.331,1.933,1.565,2.67,False,False,False,False,True,False,False,False,False,False
3.073,0.693,1.851,0.787,4.016,False,False,False,False,False,True,False,False,False,False
3.012,0.223,1.023,2.193,3.857,False,False,False,False,False,False,False,False,False,False
3.818,0.693,1.627,2.217,5.522,False,True,False,False,False,True,False,False,False,False
4.171,0.693,1.678,2.849,4.851,False,False,False,False,False,True,False,False,False,False
3.734,0.223,1.45,2.642,3.84,False,True,False,False,True,False,False,False,False,False
3.734,0.223,1.374,2.642,4.586,False,True,False,False,False,True,False,False,False,False
2.126,0.977,0.771,3.795,5.284,False,False,False,False,False,False,False,False,False,False
2.216,0.679,0.764,2.296,3.559,False,False,False,False,False,False,False,False,False,False
3.179,0.0,1.063,2.942,4.091,False,False,False,False,False,False,False,False,False,False
2.62,0.499,0.99,3.21,4.33,False,False,False,False,False,False,False,False,False,False
2.728,0.223,0.953,1.859,3.755,False,False,False,False,False,False,False,False,False,False
2.126,0.83,0.899,3.478,4.552,False,False,False,False,False,False,False,False,False,False
2.216,0.582,0.839,2.127,3.62,False,False,False,False,False,False,False,False,False,False
2.086,0.64,0.838,2.127,4.459,False,False,False,False,False,False,False,False,False,False
2.834,0.134,0.95,1.859,2.827,False,False,False,False,False,False,False,False,False,False
2.126,0.405,0.917,0.411,6.38,False,False,False,True,False,True,False,False,False,False
3.08,0.405,1.609,1.619,4.786,True,False,False,False,True,False,False,False,False,False
1.636,0.64,1.695,0.408,3.861,False,False,False,False,False,False,False,False,False,False
2.219,0.604,1.537,2.026,3.262,False,False,False,False,False,False,False,False,False,False
1.594,0.223,1.333,0.094,6.297,False,True,False,False,False,False,False,False,False,False
1.818,0.499,1.468,1.672,3.546,True,False,False,False,False,False,False,False,False,False
1.5,0.83,1.891,1.817,2.92,False,False,False,False,False,False,False,False,False,False
1.512,0.64,1.844,0.347,3.203,False,False,False,False,False,False,False,False,False,False
2.56,0.134,1.758,0.347,2.283,False,False,False,False,False,False,False,False,False,False
1.818,0.134,1.445,0.202,1.559,False,False,False,False,False,False,False,False,False,False
1.359,0.134,1.13,0.094,3.47,True,False,False,False,False,False,False,False,False,False
0.667,0.582,1.361,0.202,4.748,False,False,False,False,False,False,False,False,False,False
2.333,0.251,1.946,-1.053,2.576,False,False,False,False,False,False,False,False,False,False
2.026,0.223,1.429,0.202,5.259,True,False,False,False,False,False,False,False,False,False
1.594,0.223,1.068,0.202,4.564,False,False,False,False,False,False,False,False,False,False
0.965,0.64,1.695,0.202,4.37,True,False,False,False,False,False,False,False,False,False
1.951,0.405,1.878,-1.053,0.053,False,False,False,False,False,False,False,False,False,False
1.0,0.405,1.5,-1.306,2.381,False,True,False,False,False,False,False,False,False,False
1.512,0.331,1.627,-0.386,2.891,True,False,False,False,False,False,False,False,False,False
3.219,0.405,1.605,0.706,1.088,False,False,False,False,False,False,False,False,False,False
3.74,0.134,1.581,2.274,3.721,False,False,False,False,False,False,False,False,False,False
3.669,0.486,1.374,3.291,3.701,False,False,False,False,False,False,False,False,False,False
3.57,1.374,2.259,2.05,6.083,False,False,False,False,False,False,False,False,False,False
5.926,0.134,1.671,6.203,4.628,False,False,False,False,False,False,False,False,False,False
3.802,0.405,1.527,1.869,3.7,True,False,False,False,False,False,False,False,False,False
2.802,0.223,1.6,1.064,1.842,False,False,False,False,True,False,False,False,False,False
2.242,1.096,1.907,-1.96,3.396,False,False,False,False,True,False,False,False,False,False
1.94,0.749,1.066,1.492,2.99,False,False,False,False,False,False,False,False,False,False
2.126,0.405,1.69,0.479,3.573,True,False,False,False,True,False,False,False,False,False
3.08,0.223,1.583,1.442,2.271,False,False,False,False,True,False,False,False,False,False
3.277,0.223,1.869,1.587,2.085,False,False,False,False,False,False,False,False,False,False
3.179,0.0,1.063,2.942,3.822,False,False,False,False,False,False,False,False,False,False
2.728,0.223,0.953,1.859,3.29,False,False,False,False,False,False,False,False,False,False
2.62,0.499,0.99,3.21,3.84,False,False,False,False,False,False,False,False,False,False
2.216,0.582,0.839,2.127,3.979,False,False,False,False,False,False,False,False,False,False
2.834,0.134,0.95,1.859,3.47,False,False,False,False,False,False,False,False,False,False
2.359,0.405,0.814,0.893,3.314,False,False,False,False,False,False,False,False,False,False
2.565,0.693,1.987,0.057,4.031,False,False,False,False,False,True,False,False,False,False
2.085,1.079,0.895,4.063,4.74,False,False,False,False,False,False,False,False,False,False
2.26,0.604,0.836,3.045,4.194,False,False,False,False,False,False,False,False,False,False
2.91,0.0,1.0,2.608,3.447,False,False,False,False,False,False,False,False,False,False
2.512,0.134,1.293,0.846,2.364,False,False,False,False,False,False,False,False,False,False
2.26,0.499,0.907,2.876,3.645,False,False,False,False,False,False,False,False,False,False
3.08,0.223,1.385,1.195,2.07,False,False,False,False,False,False,False,False,False,False
2.866,0.223,1.333,1.05,2.27,False,False,False,False,True,False,False,False,False,False
2.386,0.223,0.857,1.506,3.513,False,False,False,False,False,False,False,False,False,False
2.512,0.134,1.293,0.846,2.811,False,False,False,False,False,False,False,False,False,False
3.509,0.854,1.478,2.248,2.832,False,False,False,False,False,False,False,False,False,False
2.98,0.251,2.261,-0.063,1.639,False,False,False,False,False,False,False,False,False,False
2.512,0.134,1.293,0.846,2.016,False,False,False,False,False,False,False,False,False,False
2.98,0.251,1.959,-0.063,1.651,False,False,False,False,False,False,False,False,False,False
3.462,0.405,1.717,2.06,4.097,False,False,False,False,True,False,False,False,False,False
2.755,0.405,1.559,0.996,3.123,False,False,False,False,True,False,False,False,False,False
2.755,0.405,1.844,0.996,3.231,False,False,False,False,True,False,False,False,False,False
2.024,0.977,1.328,2.604,5.052,False,False,False,False,False,False,False,False,False,False
2.609,0.604,1.529,2.419,3.572,False,False,False,False,False,False,False,False,False,False
2.878,0.134,1.684,0.8,2.436,False,False,False,False,False,False,False,False,False,False
1.961,0.134,1.215,0.548,2.567,True,False,False,False,False,False,False,False,False,False
2.665,0.251,1.762,-0.534,1.795,False,False,False,False,False,False,False,False,False,False
1.251,0.251,1.126,-0.786,5.072,False,False,False,False,False,False,False,False,False,False
2.377,0.331,2.111,-0.534,2.156,False,False,False,False,False,False,False,False,False,False
2.366,0.405,2.606,-0.128,1.037,False,False,False,False,False,False,False,False,False,False
2.878,0.134,2.102,0.8,1.932,False,False,False,False,False,False,False,False,False,False
1.961,0.134,1.27,0.156,2.505,False,False,False,False,False,False,False,False,False,False
2.462,0.223,1.669,0.408,1.524,False,False,False,False,False,False,False,False,False,False
1.778,0.223,1.203,0.156,3.048,False,False,False,False,False,False,False,False,False,False
3.609,0.811,1.189,3.291,5.115,False,False,False,False,False,False,False,False,False,False
3.316,0.223,1.571,1.795,2.856,False,False,False,False,True,False,False,False,False,False
2.0,0.693,1.128,-0.45,4.366,False,True,False,False,False,True,False,False,False,False
4.171,0.693,1.678,2.849,4.976,False,False,False,False,False,True,False,False,False,False
3.316,0.223,1.571,1.795,2.94,False,False,False,False,True,False,False,False,False,False
3.441,0.0,1.667,3.516,4.538,False,False,False,False,False,False,False,False,False,False
2.429,0.83,1.696,2.604,3.391,False,False,False,False,False,False,False,False,False,False
3.143,0.134,1.641,1.209,2.692,False,False,False,False,False,False,False,False,False,False
2.802,0.223,1.6,1.064,3.825,True,False,False,False,False,False,False,False,False,False
2.126,0.405,1.127,-0.226,3.206,False,False,False,False,False,False,False,False,False,False
2.709,0.331,2.072,-0.081,1.78,False,False,False,False,False,False,False,False,False,False
2.701,0.405,2.003,-0.081,0.533,False,False,False,False,False,False,False,False,False,False
3.252,0.0,1.417,3.124,3.299,False,False,False,False,False,False,False,False,False,False
2.111,0.134,1.253,0.468,2.914,False,False,False,False,False,False,False,False,False,False
2.085,0.56,2.451,-0.544,1.18,False,False,False,False,False,False,False,False,False,False
3.361,0.223,1.437,2.021,3.168,True,False,False,False,False,True,False,False,False,False
3.52,0.223,1.562,2.129,3.446,False,False,False,False,True,False,False,False,False,False
3.014,0.56,1.987,0.538,3.496,False,False,False,False,True,False,False,False,False,False
3.181,0.604,1.52,3.126,4.68,False,False,False,False,False,False,False,False,False,False
3.369,0.134,1.614,1.587,3.252,False,False,False,False,False,False,False,False,False,False
3.277,0.223,1.633,1.587,2.98,False,False,False,False,False,False,False,False,False,False
2.507,0.405,1.5,0.076,3.936,False,True,False,False,False,False,False,False,False,False
3.277,0.486,1.416,2.604,5.47,False,False,False,False,False,False,False,False,False,False
2.67,0.496,2.047,-0.917,1.842,False,False,False,False,False,False,False,False,False,False
2.704,0.56,1.965,-0.917,0.15,False,False,False,False,False,False,False,False,False,False
3.277,0.486,1.343,2.604,3.736,False,False,False,False,False,False,False,False,False,False
3.566,0.134,1.595,1.94,3.719,False,False,False,False,False,False,False,False,False,False
2.594,0.251,1.287,0.454,1.749,False,False,False,False,False,False,False,False,False,False
3.485,0.223,1.614,1.94,3.507,False,False,False,False,False,False,False,False,False,False
3.316,0.223,1.571,1.795,3.979,True,False,False,False,False,False,False,False,False,False
3.596,0.604,1.515,4.673,5.363,False,False,False,False,False,False,False,False,False,False
3.74,0.134,1.581,3.186,4.396,False,False,False,False,False,False,False,False,False,False
3.669,0.223,1.599,3.186,3.984,False,False,False,False,False,False,False,False,False,False
3.199,0.56,2.033,-0.129,1.02,False,False,False,False,False,False,False,False,False,False
2.57,1.028,2.137,1.466,2.973,False,False,False,False,False,False,False,False,False,False
3.641,0.405,1.531,3.289,3.182,False,False,False,False,True,False,False,False,False,False
4.005,0.223,1.545,3.953,5.055,False,False,False,False,True,False,False,False,False,False
3.896,0.134,1.571,3.503,4.822,False,False,False,False,False,False,False,False,False,False
3.201,0.693,2.004,-0.937,0.33,False,False,False,False,False,False,False,False,False,False
3.98,0.223,1.578,3.806,4.819,False,False,False,False,False,False,False,False,False,False
4.114,0.223,1.571,4.098,5.219,False,False,False,False,False,False,False,False,False,False
4.237,0.223,1.565,4.379,5.268,False,False,False,False,False,False,False,False,False,False
4.63,0.405,1.458,5.579,3.139,False,True,False,False,True,False,False,False,False,False
2.456,0.331,1.259,0.496,2.858,False,False,False,False,True,False,False,False,False,False
2.536,0.764,1.165,2.619,4.191,False,False,False,False,True,False,False,False,False,False
3.461,0.223,1.281,2.813,4.416,False,False,False,False,False,False,False,False,False,False
2.641,0.496,1.077,1.697,3.537,False,False,False,False,True,False,False,False,False,False
3.38,0.638,1.506,1.57,4.38,False,False,False,False,True,False,False,False,False,False
2.544,0.223,1.245,1.064,1.408,False,False,False,False,False,False,False,False,False,False
1.279,1.16,1.714,1.209,2.936,False,False,False,False,False,False,False,False,False,False
2.572,1.834,1.35,3.115,8.471,False,False,False,False,False,True,False,False,False,False
3.222,1.501,0.872,5.149,5.861,False,False,False,False,False,False,False,False,False,False
3.728,0.956,1.17,4.789,5.574,False,False,False,False,False,False,False,False,False,False
3.358,1.348,1.328,1.89,3.852,False,False,False,False,False,False,False,False,False,False
2.96,0.88,1.53,0.787,5.244,True,False,False,False,True,False,False,False,False,False
4.81,0.693,1.42,5.426,2.548,False,False,False,False,False,True,False,False,False,False
3.311,0.56,0.927,3.461,5.276,False,False,False,False,True,False,False,False,False,False
3.023,0.56,1.168,2.294,3.924,False,False,False,False,True,False,False,False,False,False
2.585,1.586,0.917,5.207,6.379,False,False,False,False,False,False,False,False,False,False
1.925,1.318,0.595,3.764,4.705,False,False,False,False,False,False,False,False,False,False
2.454,1.075,0.951,2.359,4.96,False,False,False,False,False,False,False,False,False,False
2.508,0.58,0.941,1.701,3.766,False,False,False,False,False,False,False,False,False,False
2.222,0.711,0.849,0.828,3.641,False,False,False,False,False,False,False,False,False,False
3.389,0.223,0.849,3.587,4.108,False,False,False,False,True,False,False,False,False,False
2.031,0.891,0.822,2.956,4.42,False,False,False,False,False,False,False,False,False,False
1.965,1.408,0.709,2.736,5.29,False,False,False,False,False,False,False,False,False,False
3.351,0.496,1.466,1.097,2.392,False,False,False,False,False,False,False,False,False,False
3.452,0.331,1.476,2.402,3.87,True,False,False,False,False,False,False,False,False,False
4.288,0.865,1.327,4.295,5.642,False,False,False,False,False,False,False,False,False,False
2.359,0.405,0.814,0.893,4.287,False,False,False,False,False,False,False,False,False,False
2.085,1.079,0.895,4.063,4.79,False,False,False,False,False,False,False,False,False,False
1.962,0.934,0.819,2.729,4.296,False,False,False,False,False,False,False,False,False,False
3.041,0.947,1.298,1.976,6.607,False,False,False,False,True,False,False,False,False,False
2.377,0.827,0.938,2.239,3.759,False,False,False,False,False,False,False,False,False,False
3.023,0.56,1.168,1.239,3.278,True,False,False,False,False,False,False,False,False,False
2.777,0.56,1.127,0.922,3.118,True,False,False,False,False,False,False,False,False,False
2.218,0.923,1.074,0.291,3.237,False,False,False,False,False,False,False,False,False,False
3.103,0.134,1.521,2.193,3.267,False,False,False,False,False,False,False,False,False,False
1.822,0.829,0.834,2.509,3.933,False,False,False,False,False,False,False,False,False,False
3.459,1.47,1.483,0.491,4.486,False,False,False,False,False,True,False,False,False,False
2.442,1.211,2.254,1.401,4.305,False,False,False,False,False,False,False,False,False,False
1.945,0.889,0.835,1.969,3.927,False,False,False,False,False,False,False,False,False,False
3.315,0.223,1.1,2.723,4.35,True,False,False,False,False,False,False,False,False,False
2.868,1.286,1.294,1.919,4.809,False,False,False,False,False,False,False,False,False,False
2.971,0.859,2.162,2.273,4.499,False,False,False,False,False,False,False,False,False,False
3.378,0.134,0.988,3.395,4.65,False,False,False,False,False,False,False,False,False,False
2.961,0.405,1.189,1.312,2.604,False,False,False,False,False,False,False,False,False,False
3.52,0.223,1.562,2.129,3.629,True,False,False,False,False,False,False,False,False,False
3.012,0.223,1.023,2.193,4.07,False,False,False,False,False,False,False,False,False,False
2.778,0.405,1.17,1.49,2.93,True,False,False,False,False,False,False,False,False,False
3.08,0.223,1.583,1.442,3.727,True,False,False,False,False,False,False,False,False,False
3.281,0.693,1.808,1.121,3.095,False,False,False,False,False,True,False,False,False,False
2.359,0.405,0.814,0.893,6.4,False,False,False,False,False,False,False,False,False,False
2.026,0.223,1.667,0.202,2.65,True,False,False,False,False,False,False,False,False,False
2.507,0.405,1.5,0.076,2.851,False,False,False,False,False,True,False,False,False,False
3.462,0.405,1.717,2.06,4.208,False,False,False,False,True,False,False,False,False,False
2.462,0.223,1.625,0.655,3.654,True,False,False,False,False,False,False,False,False,False
3.026,0.405,1.787,1.373,3.81,False,False,False,False,True,False,False,False,False,False
2.429,0.405,1.954,-0.473,0.931,False,False,False,False,False,False,False,False,False,False
2.836,0.693,1.43,0.434,3.178,False,False,False,False,False,True,False,False,False,False
4.285,0.134,1.551,4.379,6.255,False,False,False,False,False,False,False,False,False,False
2.534,0.872,1.619,-1.186,2.732,False,False,False,False,False,False,False,False,False,False
4.077,0.956,1.909,3.234,4.448,False,False,False,False,False,False,False,False,False,False
3.137,0.405,1.312,0.749,1.086,False,False,False,False,False,True,False,False,False,False
2.034,0.64,1.727,0.8,2.586,False,False,False,False,False,False,False,False,False,False
2.034,0.331,1.56,0.133,2.117,False,False,False,False,True,False,False,False,False,False
1.667,1.278,1.5,2.459,3.955,False,False,False,False,False,True,False,False,False,False
2.283,1.07,1.223,1.112,4.278,False,False,False,False,False,False,False,False,False,False
3.164,0.223,0.909,2.455,3.112,False,False,False,False,False,False,False,False,False,False
3.03,1.821,1.027,5.469,6.897,False,False,False,False,False,True,False,False,False,False
2.031,0.872,1.475,0.202,6.424,False,False,False,False,True,False,False,False,False,False
4.216,0.223,1.248,4.177,5.78,False,False,False,False,False,False,False,False,False,False
2.119,0.923,1.179,0.982,1.05,False,False,False,False,True,False,False,False,False,False
3.914,0.56,1.637,3.048,3.926,False,False,False,False,True,False,False,False,False,False
3.542,1.38,1.264,1.971,6.284,False,False,False,False,False,False,False,False,False,False
3.102,0.693,1.316,2.005,3.451,False,False,False,False,False,True,False,False,False,False
3.393,1.292,2.122,1.595,3.477,False,False,False,False,False,False,True,False,False,False
3.191,0.223,0.847,2.859,4.967,False,False,False,False,False,False,False,False,False,False
2.639,1.462,0.83,5.206,5.985,False,False,False,False,False,False,False,False,False,False
2.47,1.437,1.346,1.821,6.351,False,True,False,False,False,True,False,False,False,False
2.164,1.437,1.227,2.573,6.207,False,False,False,False,False,True,False,False,False,False
3.247,0.638,0.889,2.922,4.68,False,False,False,False,True,False,False,False,False,False
4.255,1.695,1.087,2.294,4.475,False,False,False,False,False,False,False,False,False,False
3.629,0.331,1.478,2.821,3.24,False,False,False,False,True,False,False,False,False,False
3.08,0.827,1.079,1.155,5.478,False,True,False,False,False,False,False,False,False,False
3.012,0.223,0.76,2.637,4.62,False,False,False,False,False,False,False,False,False,False
2.374,1.16,0.979,3.818,5.048,False,False,False,False,True,False,False,False,False,False
2.855,1.331,1.325,0.454,7.045,False,False,False,False,False,True,False,False,False,False
2.024,0.405,1.605,0.133,1.307,False,False,False,False,True,False,False,False,False,False
3.739,0.0,1.25,3.267,2.149,True,False,False,False,False,True,False,False,False,False
3.426,0.693,1.488,1.294,3.025,False,False,False,False,True,False,False,False,False,False
2.878,0.134,1.684,0.8,2.425,False,False,False,False,False,False,False,False,False,False
4.785,1.263,1.471,2.749,9.612,True,False,False,False,False,False,False,True,False,False
3.286,0.357,2.104,-0.521,1.771,False,False,False,False,False,False,False,False,False,False
2.507,0.405,1.652,0.888,4.603,True,False,False,False,True,False,False,False,False,False
2.857,0.973,1.838,1.121,5.311,False,False,False,False,False,True,False,False,False,False
3.924,0.693,1.707,2.314,4.713,False,False,False,False,False,True,False,False,False,False
3.601,0.223,1.35,2.545,4.32,False,False,True,False,False,True,False,False,False,False
3.634,0.693,1.747,1.742,4.051,False,False,False,False,False,True,False,False,False,False
1.968,0.331,1.891,-1.053,1.47,False,False,False,False,False,False,False,False,False,False
2.429,0.405,1.927,0.586,2.583,False,False,False,False,True,False,False,False,False,False
3.029,0.331,1.847,0.314,2.474,False,False,False,False,False,False,False,False,False,False
3.605,0.0,1.15,3.562,4.51,False,False,False,False,False,False,False,False,False,False
2.024,0.83,1.761,2.226,3.007,False,False,False,False,False,False,False,False,False,False
3.026,0.405,1.548,1.373,2.84,False,False,False,False,True,False,False,False,False,False
3.462,0.405,1.717,2.06,4.557,False,False,False,False,True,False,False,False,False,False
3.669,0.223,1.778,2.274,3.604,False,False,False,False,False,False,False,False,False,False
2.9,1.275,0.913,3.574,6.564,False,False,False,False,True,False,False,False,False,False
3.832,0.223,1.587,3.503,4.41,False,False,False,False,False,False,False,False,False,False
4.285,0.134,1.71,3.467,5.38,False,False,False,False,False,False,False,False,False,False
3.164,2.044,0.83,4.912,6.113,False,False,False,False,True,False,False,False,False,False
3.332,0.134,1.294,2.242,3.374,False,False,False,False,False,False,False,False,False,False
2.344,0.582,1.59,1.467,3.109,False,False,False,False,False,False,False,False,False,False
3.353,0.854,1.944,1.297,2.451,False,False,False,False,False,False,False,False,False,False
2.993,0.811,1.232,-0.059,5.395,False,False,False,False,False,True,False,False,False,False
2.914,0.798,0.975,2.715,4.109,False,False,False,False,True,False,False,False,False,False
3.111,0.331,1.011,2.042,3.25,False,False,False,False,True,False,False,False,False,False
2.777,0.56,1.127,1.433,4.767,True,False,False,False,False,False,False,False,False,False
3.188,1.182,1.244,1.845,5.012,False,False,False,False,True,False,False,False,False,False
3.134,0.223,1.319,1.795,2.739,False,False,False,False,False,False,False,False,False,False
3.514,0.134,1.07,3.315,7.809,True,False,False,False,False,False,False,False,False,False
3.436,0.331,0.951,2.786,4.338,False,False,False,False,False,False,False,False,False,False
2.217,0.872,0.875,1.769,4.182,False,False,False,False,False,False,False,False,False,False
3.219,0.405,1.605,0.706,1.134,False,False,False,False,False,False,False,False,False,False
3.645,0.223,1.155,3.105,5.178,False,False,False,False,False,False,False,False,False,False
2.685,0.405,1.145,1.246,3.219,False,False,False,False,False,False,False,False,False,False
2.685,0.405,1.145,1.246,3.11,False,False,False,False,False,False,False,False,False,False
2.961,0.405,1.388,1.58,3.07,False,False,False,False,False,False,False,False,False,False
3.52,0.223,1.59,1.882,2.883,False,False,False,False,False,False,False,False,False,False
4.029,0.965,1.729,4.038,4.451,False,False,False,False,False,False,False,False,False,False
1.883,0.711,1.162,0.602,2.924,False,False,False,False,False,False,False,False,False,False
3.432,0.638,1.385,1.459,5.339,False,False,False,False,True,False,False,False,False,False
3.369,0.134,1.614,1.587,2.226,False,False,False,False,False,False,False,False,False,False
3.323,1.232,1.134,4.207,6.5,False,False,False,False,False,False,False,False,False,False
